text,eticheta
"November 2025 check-in 🌿 who’s still healing with this? Wherever you are, I hope you’re finding peace and gentle days ahead 🤍",0
THE WORLD IS BEAUTIFUL,0
"$2,000 won't cover shite . This is disgusting . Dementia Don has no clue.",1
The ads are not relaxing get them off!,0
Dobrou noc z Česka,0
Any one here November 2025?,0
"Jake!  When you asked the question, he said you asked the wrong question, and proceeded with his irrelevant talking points.  He did say that the 20% administrative and profit charge is his target for consideration.  No client of an insurance company recognizes a 20% ""overcharge"" as the source of the high and impractical insurance rates.  He is obstructing the facts, which are rarely a topic in these discussions.  Insurance for anything is a calculation of past and expected expenses.   In this issue,  health expenses are high, and to pay the providers, the patients' expenses are high.  Why are the heath expenses of US citizens high?   The OBVIOUS factor is the Covid-19 pandemic.  Medical expenses since the vaccine was freely available in 2022 are high because 1.2 million people in the US contracted Covid, got sick and unneccesarily died.  The right-wing MAGA, responding to the desires of employers avoiding disruption of their business, have created several aggressive ways to ""fight"" the pandemic, which has become an incorrect lethal attack on health care, specifically, amplifying a nascent mythology about the historically successful and implemented use of vaccination.  Objectively, the anti-vax ""cause"" did and still does result in the death of Americans; they either know the reality and are desperately defending themselves from liability or they are truly ignorant of the long and established conventions of health care in this country.  You interviewee should have been ""handled"" by the AMA (American Medical Association) who is authorized to perform peer reviews, and is responsible for the interviewees violations of his legal responsibilities to patients.  Instead, he gaslighted you with irrelevancies.

The insurance industries have ways to estimate expenses.  We could have good data on the Covid crisis, but the CDC has obscured that on its web site.  The senator's comments on Measles and Pertussis (whooping coughs) were especially disturbing.  If the present CDC guidelines are executed by physicians, the estimates by us and the insurance companies could predict tens of millions of subsequent deaths in the next few years.  That is why health insurance is an expensive problem.  Whether health expenses are paid directly by patients, by insurance companies or by the government, the result is the same.  The people of the US will pay them as payments to doctors and hospitals, or to insurance companies or as taxes.  The details of how that money flows are very practical, but has no bearing on the morbidity, mortality and suffering of those who require the health care.

That is why it is extremely important to restore the legislated systems that existed because they were created when the laws and institutions were responsive to the oversight and operations of the American people.  A mythologist like RFK is capable of indirectly killing millions MORE people.  The escape from justice experienced by the MAGA anti-vaxers,. holistic medicine and cults is resulting in a continued destruction of health institutions, research and this is an ongoing disaster being promoted in a very un-American and unconstitutional way.

The political environment of today has been confused by the enormous injection of crime and corruption.  We are seeing deliberate incompetence being used to destroy the United States, for the purpose of replacing the Constitution with the post-constitutional government of Project 2025.  The senator talked about an enigmatic 2026 plan, which involves more than the ratification of the crony-government of non-equal participants.  The administration has declared that those opposed to fascism are the ""enemies of the people.""   This week, Trump said that Democrats and Moderates should be declared to be insurrectionists and should be hung.   In terms of public health, it is already an inevitable danger that we have an RFK who is clearly capable of being another Doctor Mengele.  Although the mens rhea is obvious, It is irrelevant.  The absolute fact of increased death and suffering is too high a value to bother to establish motivations for why they are potentially bringing a genocide to the residents of the US.  It is reliably predictable because it is already in progress and THAT is why heath expenses and insurance rates are TOO HIGH  (even ignoring the realities of death and suffering).

It is significant, but also irrelevant, to note that a predominant GOP philosophy that the margins of profit are somehow considered irrelevant in the administration now.   The Senator's talking point about how the ""operations"" of services can absorb expenses regardless of the costs of doing business is the same ""flaw"" in their proposition that consumer items can be significantly reduced regardless of the arbitrary costs applied by tariffs, the new illegal commissions on all imported products.  Opinion can always be derived from facts.  Facts can sometimes be derived from opinion, which is why there are formal methods in any culture to verify competence.  They are substituting authorities of fact validated by experts with authorities of position appointed by higher authorities of position.  The pattern is so pervasive, one can only conclude that it is a fraudulent plan to accomplish goals for an elite subculture.  Corruption always results in failure, because it is inefficient, but in matters of life and death, and matters of individual economic destruction,  there is no time left to tolerate patently fraudulent crimes.  Because the principles of corruption injected in the federal government are not based on facts, these illegitimate institutions can only be restored with direct investigations, and application of justice with indictments.  Nevertheless, this administration will fall like a house of cards as soon as the major infractions are addressed.  The plethora of facts at every level is actually a distraction from the few very significant violations of the Constitution now infiltrating the entire culture of the United States.  There are many in this country who have made careers out of their general contempt.

Our time is our most important asset.  They are wasting our time.  I reserve my remaining time.",1
This is a perfect music to calm me down.,0
Hi,0
Jiminy is right.😊👍,0
Helping me wind down on a sunday night ❤i hope its helping you too 😊,0
Where’s my lightworkers at in November 2025! ❤,0
👇2026 hier,0
"the US surgeon general should resign over the MMR vaccine ban and make this speech: my job is being under mined due to the MMR vaccine ban. every MMR outbreak is like a ICBM hitting that city or town, my responsibility is to the heath of people of the United states, and hopefully my replacement will follow in my foot steps",1
It's legal to lie to Senator Cassidy.,1
There's no ads in this video,0
Vaccines are most definitely not very safe at all. Alot of people have serious health issues today and have lost their lives from that dumb covid vaccine,1
No one reads the CDC website. This is such a cop-out answer. He can't admit that he messed up. What a joke.,1
Love it,0
Donald Trump believes we're giving children too many shots too soon,1
"Tapper is a fool and a pontificating, judgemental scold as opposed to a journalist. CNN get rid of this complaining gossiping old woman.",1
This reminds of being in waiting rooms with white walls and that one type of carpet,0
Does trump think vaccines are safe? His own words and actions suggest this is not the case,1
"Cassidy: ""Ignore the guy I voted to run HHS and talk to your doctor.......""",1
Ilove that music 😊,0
The comment section is so refreshing💚 love you all,0
This is cowardice. Cowardice from Cassidy and cowardice from Tapper for letting him get away with dodging these questions.,1
"Another boot licker! Won't take responsibility for confirming RFK and putting an idiot - with no medical experience - in charge of our health policy! Cassidy: You don't get to take the out by suggesting that people ""check with their doctors!""",1
Anyone here 5/11/2025,0
This is so relaxing 😊,0
Another phony lying politician.,1
Is anyone here at the end of 2025?,0
"Very nice. Starts out slow, no crescendo….. not sure what happens in the middle as i was a sleep fairly quickly. Nice. Perfect. Favorited.",0
Me too,0
you are the perfect you . perfect in every way,0
Thank you Jake! Great interaction 👍,1
Night Time,0
Democrats are pure bigotry and treason.,1
Such a calming and immersive experience — my brain thanks you!,0
RFK needs to be locked away in a mental hospital,1
this is the best music for when i do my homework,0
"People Not getting Vaccinated is a huge worldwide problem,this sentiment about giving vaccinations a bad name is also seen here in Europe, Religious motives is a big one, it really matters what the minister of Health says with you or here, diseases spread we all travel around the world,people getting preventable sick or even die😔thank you for adressing😘",1
Noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,0
"Cassidy is more politician than doctor. Doesn’t deserve his medical license. 
And no, Trump doesn’t agree with you or he would rein in his Health Secretary, RFK Jr., or outright fire him. 
Cassidy is a coward.",1
"De ce mi-ați pus chenarul, că vizionam in continuare ca pina acum fără chenar.Mulțumesc ❤",0
"What a wuss!  The Dr.’s questions during the confirmation hearing were as insincere as RFK Jr’s responses.  Both sounded like they cared but neither had any intention of actually standing up for the science-based facts.  And if the president believed vaccines are safe, why did he nominate this man who doesn’t?!?",1
"Would help your credibility senator, if you just owned your mistake and apologized",1
Shame shame shame Cassidy. Stop trying to push the whole “trump says it’s safe”. Trump also put Rfk in charge and you backed it!,1
Welcome to Louisiana politicians 😢. Double talk.,1
Meely mouthed Senator spending several minutes not taking responsibility for his role in putting this nutcase in charge of our health care system.  He knew his oath included at least doing no harm.  Voters should all remember this cheap politician on voting day.,1
Cassidy is ridiculous dodging the question about calling out RFK Jr being a danger to all Americans. He just says it's important to focus on health care. Disgraceful. Cassidy should be telling people that RFK Jr LIED directly to his face and is actually harming the American people.,1
Sgsvtsfsdg 🗺🧭✈️🌚🌒🕘🕔🕠,0
This makes me want to cry. 😞😢,0
Vabtei obak lage eto crore manush sudhu matro valo ghum R stress relief er somosya ache amar moto😟,0
🏁🚩🏴🏳🏳️‍🌈🇦🇱🏴‍☠️🇦🇨🇦🇩🇦🇪🇦🇫🇦🇬🇦🇮🇦🇱🇦🇲🇦🇴🇦🇶🇦🇷🇦🇸🇦🇹🇦🇺🇦🇼🇦🇽🇦🇿🇧🇦🇧🇧🇧🇩🇧🇪🇧🇫🇧🇬🇧🇭🇧🇮🇧🇯🇧🇱🇧🇲🇧🇳🇧🇴🇧🇶🇧🇷🇧🇸🇧🇹🇧🇻🇧🇼🇧🇾🇧🇿🇨🇦🇨🇨🇨🇩🇨🇫🇨🇬🇨🇭🇨🇮🇨🇰🇨🇱🇨🇲🇨🇳🇨🇴🇨🇵🇨🇶🇨🇷🇨🇺🇨🇻🇨🇼🇨🇽🇨🇾🇨🇿🇩🇪🇩🇬🇩🇯🇩🇰🇩🇲🇩🇴🇩🇿🇪🇦🇪🇨🇪🇪🇪🇬🇪🇭🇪🇷🇪🇸🇪🇹🇪🇺🇫🇮🇫🇯🇫🇰🇫🇲🇫🇴🇫🇷🇬🇦🇬🇧🇬🇩🇬🇪🇬🇫🇬🇬🇬🇭🇬🇮🇬🇹🇬🇸🇬🇷🇬🇶🇬🇵🇬🇳🇬🇲🇬🇱🇬🇺🇬🇼🇬🇾🇭🇰🇭🇲🇭🇳🇭🇷🇭🇹🇭🇺🇮🇨🇮🇩🇮🇪🇮🇱🇮🇲🇮🇳🇮🇴🇮🇶🇮🇷🇮🇹🇮🇸🇯🇪🇯🇲🇯🇴🇯🇵🇰🇪🇰🇬🇰🇭🇰🇮🇰🇲🇰🇵🇰🇳🇰🇷🇰🇼🇰🇾🇰🇿🇱🇦🇱🇧🇱🇨🇱🇮🇱🇰🇱🇷🇱🇸🇱🇹🇱🇺🇱🇺🇱🇻🇲🇦🇲🇨🇲🇨🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🇿🇼🇻🇺🇹🇿🇺🇬🇻🇬🇴🇲🇶🇦🇶🇦🇵🇱🇴🇲🇳🇱🇳🇵🇳🇷🇵🇼🇵🇹🇳🇬🇵🇹🇷🇺🇴🇲🇷🇸🇵🇲🇵🇸🇳🇫🇷🇼🇹🇩🇹🇯🇹🇳🇸🇾🇺🇦 where are you from?,0
When he talks it makes my throat hurt,1
"You may question the safety of vaccines. Why? Because that's how science works. And I'd rather have safer vaccines. We're not going back to the COVID era lunacy that CNN and the like propagated with the ""don't question the science rhetoric."" That was absolutely insane.",1
Having Slimolina Tea from Planet Ayurveda in the evening with soft music has become my favorite ritual. It calms my mind and helps me stay light and refreshed from within.,0
India se kon kon h❤😊,0
OMG senator Rick Scott was part of the biggest American health care scandal !!!! He stole money and got away with it.  So this so called doctor is endorsing the 1 guy who did more to hurt Americans health care than any other official Haha 1997 he defrauded Medicare and Cade for millions and got away with it. Google it. They're all corrupt!,1
Did he say he would offer 1000 to help pay for a 5000 deductible,1
Can I use this??,0
Done...,0
"This is so peaceful. I play it while working, and it seriously clears my head. Been creating my own relaxing tunes lately — nothing fancy, just pure calm energy. Love seeing more creators putting out positive stuff like this.",0
"I make psychedelic, calming Eastern-inspired music. If you enjoy this vibe, feel free to stop by my channel and check out my latest track. Hope you enjoy the journey",0
It's relaxing looking up at the stars with this music playing.,0
Republicans don't care one bit about Americans healthcare prices,1
https://youtu.be/BokdSWC2R68?si=kWljSVSuJ9dBrdv9,1
Amazing,0
"Hey there. We may never meet, but if you’re reading this, take it as a sign—you’re stronger than you think. Life gets heavy sometimes, but remember, you’ve made it this far. That’s no small thing. 💪

Whatever you’re facing, you have the power to overcome it. You’re not alone, and better days are coming. Believe in yourself, because I believe in you. 🌟

Take a deep breath, keep going. Sweet dreams.",0
Just one more completely spineless Republican,1
❤,0
I Hope you have beautifull Life ammeen,0
The experts also said that thalidomide was safe and effective. When did we recently hear this mantra? 😉,1
Spineless Doctor and he is not doing what doctors are suppose to do: no harm!  Allowing RFK to continue is against his own oath to his profession.  All the doctors and medically trained people in the legislature need to request for Trump to pull him out of there.,1
"he got his numbers wrong. You pay 3 TIMES (3!) MORE for a private insurance company interfering then EVERY OTHER DEVELOPPED COUNTRY PAY FOR UNIVERSAL HEALTHCARE.

You have a huge crass useless costly parasyte, PRIVATE INSURANCE. That useless step cost you collectively TWO THIRD OF ALL YOU COLLECTIVELY PAY AND YOU DONT HAVE HEALTHCARE FOR THAT INSANE COST.

That guy, there, he knows that,.",1
😐,0
He is putting his political career above saving lives!,1
"Answer the question, Cassidy! You're telling people not to be misled--so you're admitting that the CDC under RFKJ is misleading the public!  It cannot stand! Remove him from office now. He is violating his duty to the American people.",1
"Coward, gutless wonder, a disgrace to medical profession",1
"If rfk is anything, it’s fringe!",1
Está buena la canción pero dura mucho❤❤,0
So tried....listening to this to stop all bad moments.🐱,0
Spineless,1
No Wy i get one leidk pis 500,0
"And as a doctor, Cassidy should never be allowed to practise.",1
"Virtual hugs!! 🤗🤗 To all, just pray for me I really want to be happy, successful and earn respect in my life 🧬,going through downfall 😮",0
Could we in the northeast will trade Philly for New Orleans...Plz....just sayin.....,1
The medical prof ignore him. It’s bollocks. RFK is a dick head.,1
You obviously know very little about the research that's out there.  Medical doctors should know better.  Reading and understanding the research is a must.  Try doing both!,1
"If you're reading this message, I want you to know that you're not alone. When you're feeling empty and as if nothing matters anymore, it’s important to take a moment for yourself. Close your eyes and take a deep breath. We all experience times when darkness seems to overshadow our souls. In those moments, remember that you are a source of light. Your light has the power to touch and change lives, even when you may not realize it. The universe wants you to know that better days are coming, and you have the power to make them happen. Believe in yourself, be kind to yourself, be gentle with yourself, and keep moving forward. Stay positive, and go with the flow.  Remember, whatever you are fighting, you've got this. The human body possesses the ability to heal itself. Cherish the present as if there is no tomorrow. Don't think too much.",0
"How to impeach or to force RFK Jr.to  resign ASAP to save your people , doctor Republican?",1
💚,0
:face-red-heart-shape:,0
Yes I am here.,0
"If you are visiting in November, 2025, remain blessed🙏🫶🏼",0
Praying and sending healing thoughts and prayers to anyone who is struggling ❤,0
I love soft music,0
he keeps saying he agrees with trump and stands with vaccines and that he’ll “leave it at that” but voted for a jackass who stands against vaccines. spineless doc,1
Cha gpt me trajo aca,0
Cassidy is a grotesque person.  He just dismissed the essay of a dying Kennedy .  And his health plan is a  nothing burger concept. This guy is not a doctor. He is  complicit in murder of kids. Maga and Republicans are evil. Evil cruel lying corrupt people who worship evil and money only. Otherwise why would anyone be ok with any of this ???,1
"GOP Concepts of a Healthcare Plan: 1854-2025
""Go find some insurance in the profit driven open market of greed, Welfare Queen Commies. We'll DEREGULATE that market to give H.C. providers the FREEDOM! to charge WHATEVER they want and PROTECT them from lawsuits. #RuggedIndividualism #Bootstraps""",1
"Are you worrying about anything? or being stressed? 
Don't worry babes everything is fine🩵🫂
you are the best in the world bestest you've ever seen 🤍💫
Don't cry or be sad
I'm always here for you🫀🫂",0
"He should apologize to America for choosing party of people.  Decertifying nursing, blaming vaccines for autism.... This is on your hands Sen. Cassidy!!!!",1
"Absolutely beautiful atmosphere. I create similar calm & rain piano music too —
this vibe inspires me every time. ☔🎶",0
If vaccines are safe then why did my son develop asburgers after vaccination? He did show any signs until after 4......,1
"I've been listening and watching this for close to 10 years... And it's still my go too for reading, sleeping and meditation.. the sound now has a lot of nostalgia attached to it aswell.. thank you for making this ❤",0
Far Olivia jemz👍,0
Been listening to this for 8 yrs this best sleep music to fall asleep to,0
Something is causing a huge rise in Autism is the true issue that needs reaserch for sure,1
November 24th 2025 - Cape Town 22h10 😊,0
"490,000,000 views is unbelievable!",0
CALM NICE STRESS GONE PERFET FOR ME ..],0
Cassidy's obituary should start by stating that he facilitated and enabled the greatest demise in American public health of the last half century if not longer. Shame!,1
M easles A re H ere A gain...,1
"Hello. If you’re reading this, you matter. It may not seem like it right now but your bright and funny soul is completely worth anything in this world. Now,it’s time for you to have the best sleep of your life. What are you waiting for?! Stop reading this and have an AMAZING sleep!",0
CNN these days are nothing but a bunch of whiney democrats who cry about anything...who watches this anyways..😂😂,1
What a POS,1
"I would never forget this night and how i am feeling right now but i will be back here when this moment becomes from the past. 
Life is a gift not supposed to be fair but it’s worth living once u start living under the perspective that pain is part of life it took me too much time to realize that and stop worrying about it because it happens to us for a reason so choosing our pain and embrace it give some meaning 
Accepting then evolving is the ley",0
🍃🍂🌿💨👃,1
November 2025,0
"Tapper needs show more courage by pushing for actual, substantial answers. Instead, he cowers.",1
Vaccine related Brain Fog and dementia.,1
"Listen to this every night, great way to clear my head of any negative thoughts and just drift away ❤",0
i am fan:face-blue-smiling: love it im so happy for you,0
"DID HE LIE TO YOU??????????

PS. It’s asterisk, Cassidy. Not asterix.",1
Thank you and happy belated birthday to you,0
Hope everyone is doing wonderful.,0
trust me everything will only get better from here,0
I had a delightful nap to this music,0
It is so sad that American people have to protect our families by investigation our self  why should we as Taxpayer paying group fools to tell us what to do ！,1
"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life.",0
Thank you for your kind words wish you the best,0
"Get him out,after reading the information of the man  making poems about.?.....?",1
"So many other countries with per capita GDP like the USA’s,  or lower than the USA’s, provide national health care for all. The USA doesn’t need to reinvent the wheel as there are plenty of existing, proven systems out there that can be adopted. 

Why can’t the USA do the same as their peers? Are the USA that cruel, stupid and greedy?",1
Dr Cassidy is such a coward,1
yes,0
I love you.,0
I admire your creativity.,0
My parents’ lowest cost bronze plan in our rural area is 2900/mo.,1
"These subsidies go to insurance companies. People act like it's a subsidy for poor and working class people. This is just Congress finding ways to give more money to the health insurance companies that fund their campaigns. The only solution to the problem is Medicare for everybody. If you're rich and want supplemental insurance on top of that, great you can spend your expendable income on that.",1
"This guy talks a great deal but refuses to take accountability for confirming RFK, and refuses to even recognize  that RFK lied under oath, and completely dodged the question what he will do to push back. 

Also, does he think invoking
 tR💩mp’s name each time makes his deflection less noticeable? 

What a coward!
What a shame!",1
"All senators who voted for RFK, should be kicked out of Congress.",1
Anyone here November 2025,0
Peace 🕊️,0
"I don't know what it is about this song, but it makes me feel like crying. It evokes something in me that I can't explain. Anyway, thank you for this.",0
He went in circles so many times I got vertigo 😵‍💫,1
"point of the entire video: Cassidy what are you gonna do? ""I am not gonna do shit and F U for asking"".",1
"... Man, get this guy out of my face! Arrest this fool! Look at his face, he knows he did wrong!!! All these clowns will go down in history as a joke and disgrace, not just to the United States, but to the whole world... and the universe will know it!!!!!!! History doesn't forget!!! Whatever they thought they would earn or are getting from siding with the Orange Notorious Convicted Cheater Felon Low-I.Q. Wannabe-Dictator Pathological-Liar Buffoon Draft-Dodger Con ANTI-Truth FAKE-christian Unwittingly-Clown and his republiCON ME[A]GA administration will not be worth it!!! See all of those moronic guys in hell!!!",1
Sen. Cassidy has blood on his hands.,1
"8 november 2025, 02:47 am",0
😂😢😂🎉🎉🎉😂😂 26:19 26:21 2025 26:42 26:42,0
Hi,0
Hi,0
"Here in November of 2025 and Erie, Pa and remember Cherish Every Moment ❤️",0
"What a cowardice pitiful spineless politician.  A disgrace to the medical profession.  Refuses to take ownership of RFK’s appointment to HHS .  Cassidy is vicariously responsible for the rise in measles outbreak not only in Texas, but his own state.  He was hell bent getting back into Trump’s good graces after voting for his impeachment in 2021.  Well that will be his legacy… not healing, but disregarding his Hippocratic Oath.  Come on Bill grow a spine and take ownership of your professional and political malpractice!",1
Always relaxed on your channel 22.11.2025 🙂,0
Me,0
Çok güzel,0
"잠오지 않을때 들으면 딱일것 같네요
고운영상 감사합니다",0
This senator is a complete hypocrite.,1
"RFK should not have been confirmed. He is the health secretary. He should NOT have been confirmed. ACA should be extended. How do you make sure there are fixed rates of healthcare costs.  There is no plan, stop making the public worry. There should be some guarantee of an extension to stop the fear and worry.",1
Medical savings accounts don't help. His bill doesn't control costs.,1
Sen Cassidy's state (Louisiana) has one of the lowest vaccination rate in the country. RFK isn't going to increase that rate!,1
almost Dec 2025 ❤,0
"Right now, there are people all over the world who are just like you. They're either lonely, they're missing somebody, they're depressed, they're hurt, they're scarred from the past, they're having personal issues no one knows about, they have secrets you wouldn't believe. They wish, they dream and they hope. And right now, they are sitting here reading these words, and I'm writing this for you so you dont feel alone anymore. Always remember, don't be depressed about the past, don't worry about the future, and just focus on today. 🖤",0
🇱🇰,0
that pathetic half smile,1
November 11:11,0
ANYBODY who voted for him during that confirmation hearing should be held accountable.,1
The silence 🤐 was crystal clear!!!!😮😂😂,1
Cassidy should have been dismissed.,1
Here's a video from Canada (CBC) that should have gone viral when it first came out but I think it was buried by main stream media in the USA . I'm resurrecting it to show how the corruption of RFK Jr. and his allies is deep and poses a threat to all Americans.  Capitalism at it's worst.  --  CBC News  --  Anti-vaxxers exposed: Hidden camera investigation (Marketplace)  ---  https://www.youtube.com/watch?v=V522Hs8E6NU  (21:37  minutes) It's well worth watching.,1
"Bill Cassidy's Kitchen Table Priority List:
1.My political career.
2-36 .......
37. American Lives.",1
"Nothing and no one good, comes to Washington from or through Louisiana.

How about we quit subsidizing Louisiana? 60% of their state budget comes from the federal government.",1
 @amandaacevedo9663  i play it b4 sleep and it’s amazing,0
"Hi everyone, just wanted to take a moment to let you know - You are really very amazing in your own way. Be yourself, don't take stress upon what others will think. Just be kind, strong and healthy. People who pokes you for no reason, they will get screwed up eventually in their own lives. Keep distance from such people and focus on yourself. You are not alone, we all are together to help each other. ❤",0
I'm sure ita been said so many times over. But this ass clown was the vote to approved him thats how we keep us safe. Gawd what a tool,1
Beutiful,0
He is a coward. I thought a doctor’s first oath was to do no harm.,1
"Answer the question. Did he lie to you?  The answer is yes.  Next.  Notice that this male interviewer doesn’t have the balls that the female interviewers have. He should’ve said please answer my question.  He lied to you, didn’t he?  Yes, or no did he lie to you?  Instead, he changes the subject along with Cassidy.  It’s disgusting.",1
"Yes, what matters is making America healthy. That means getting rid of a man who sits at the highest position of power in our country’s healthcare system and has done nothing but undermine real medicine with junk science claims. His actions are causing deaths to Americans of all ages.",1
5:01 nooooooooooooooooooooooo 5:26,0
"Wow!?  So much for a medical degree. Physician do no harm. Fuck that, right. What an amazing surrender of character and personal authority.",1
Answer the question!! What is wrong with this guy!!,1
You look both Latina and hindi😅 which one are you ?,0
"Vaccines with MR-5 HUMAN FETAL TISSUE CELLS FROM DEAD MURDERED ABORTIONS CSN NEVER BE GOOD YOU DUMB DOCTOR DEATH AND HELL.... NEITHER CAN VACCINES MADE FROM YOUNG BABY COWS BLOOD BE SAFE, SO YOU ARE FORCING RELIGIOUS AND OTHER PEOPLE TO BECOME CANNIBALISTIC HUMAN DNA FETAL TISSUE CELLS CONSUMERS AND DRINKERS OF COWS BLOOD... I DONT TAKE VACCINES, AND I USE HERBAL MEDICINE FOR ALMOST EVERYTHING... YOU ALL KNOW THE HERBS ARE FOR THE HEALING OF THE NATIONS... I KNOW HOW TO STOP ALMOST ALL SICKNESSES ON EARTH... I WILL NOT BE SCARED BECAUSE I DINT Lack KNOWLEDGE, AND THIS IS A WICKEDNESS...


VACCINES WITHOUT COES BLOOD AND HUMAN DNA FETAL TISSUE CELLS ARE NOT EVIL... BUT ALL VACCINES WITH HUMAN DNA FETAL TISSUE CELLS AND NANOTECH AND COW'S BLOOD ARE UNSAFE ABD WICKEDNESS... SOO YOU ARE DEFINITELY GOING TO BURN FOR YOUR EVIL... WHEN POLIO VACCINES WERE MADE IT ERADICATED POLIO BUT YOU DEVILS SAVED THE POLIO PLAGUES IN LABS AND NOW YOU SRE PUTTING HUMAN DNA FETAL TISSUE CELLS AND REJECT THE HENS EGG VACCINES BECAUSE YOU MADE UP ONE OR TWO SIDE EFFECTS, SBD USE THAT SS A JUSTIFICATION TO OUTLAW HEN EGGS VACCINES, NOW WE SEE ENDLESS REOCCURRENCES BECAUSE OF UNETHICALLY MADE VACCINES FROM HUMAN DNA FETAL TISSUE CELLS, VERY DISGUSTING BUT YOU DEMOCRATS ARE SOO EVIL YOU LOVE TO FORCE YOUR WILL ON MUSLIMS ABD CHRISTIANS AND OTHERS WHO HATES YOUR WILL FROM OUR OF satan pope pedophiles deep state alliance. you and your devils wickedness will never escape the Judgement",1
"In one vote he did more harm to public health and the importance of vaccinations that the entirety of his career as a physician.  He had his moment to show courage, to make a real difference in people's health care, and sadly he was found wanting.  I hope he knows this.",1
"Ahhh, yes...  the 'old trickle down effect'.
Fund the rich, the conglomerates, big pharma... and they'll look after the little guy.
Sure. That works.

THIS is why the GOP are responsible for 9 of the last 10 recessions. They have NO IDEA...",1
Prirodu,0
Yooo,0
L😊,0
Cudna muzyka ❤,0
"Amazing ❤
And thanks for 20 subscribers😊",0
Wong indo November 2025 sapa gie?,0
IN THE MEMBRANE,1
3 novembre 2025🎉❤,0
"Cassidy needs to GROW A SPINE. Cassidy let RFK Jr in, and American children will suffer the consequences of   misinformation and negligence.",1
Muito bom! Dorme rápido!!,0
Trump created covid,1
👣🐾  https://youtu.be/sqwV9l-U8ds?si=YYbZsvqWGK3wJqrK,1
"ما أجمل نعمة الإسلام (في الإسلام لا حاجة لهكذا أشياء ) قراءة المعوذات كافية اللهم ان نحمدك و نستعينك و نستهديك 
سبحان الله والحمد الله و الله أكبر 
من قرأ تعليقي رجاءً دعاء من فضلك ❤",0
"Today marks 3 years since my father became a star. I'm trying to sleep, only these videos can help me relax.",0
"Sleepy✖
Song Really emotional✔",0
" @heinz-juergenmeissner3126  Maybe you are  misunderstanding  the Data. I know how the ARR is calculated, maybe you don't understand that the ARR is the Risk difference if you do not take any vaccine. A risk benefit analysis is easy tp perform and the key reason why the FDA has said without the ARR information you will make a suboptimal decision. It is also used to find the Number needed to Vaccinate NNV to stop one infection.",1
58:08 58:09 58:10 58:10 58:10 58:10 58:10 58:10 58:10 58:12 58:14 58:16 58:17 58:17 58:19 58:20 58:21 58:22 58:23 58:24,0
https://youtu.be/RFmhqe9hND8?si=DuwPIcISgfz9B3Cy,1
He is the problem.  Vote!,1
"Sen Cassidy should step down. He didn't honor his oath as a doctor and senator. Cassidy, people are going to die because of your politics. Step down.",1
Sen Cassidy seems like a used car dealer to me.,1
POLSKA ZBIERAMY SIE🇵🇱,0
The Just In: New Evidence Indicates Brainworms are Contagious. Stay Tuned for More Broken News.,1
😢😢😢😢😢😢😢😢😢😢😢,0
No he was correct.,1
Somehow this playlist chill song makes me angry idk how,0
"This administration’s approach feels like constant political retaliation rather than responsible governance.
Senator Cassidy, you were elected to advocate for your constituents—please do your job.
Your actions suggest you are prioritizing loyalty to a president who has shown little concern for the wellbeing of American citizens.
If you oppose the ACA, then present a serious, workable alternative. You and your colleagues have had years to develop one, yet have offered only criticism rather than solutions.",1
Türkiyeden selamlar 👋,0
Republicans just have nothing to help the people by 2026! It's all garbage!,1
Rest in Peace Dad 🙏,0
“Americans will be able to get SNAP to purchase my personally wrapped roadkill meat”. 😂,1
Pls like me or sad i Love u 😮,0
"I'm trying towrite this without sounding cheesy
But when youre so stressed that you feel like you cant even afford to sit down and breathe for 5 minutes, that's when you take a break because it will give you the energy to manage everything. You need clarity.",0
"I want you to remember that everything you have been bothering right now will pass. Every struggle, pain,  brokenness ,weeping and hindering will stop . Financial breakthrough, healing and success  will overtake. Trust in Him 👆",0
Sen Bill Cassidy has received over 1.2 million from big pharma since 1990,1
I love this music it's so relaxing,0
"You can't save enough in a health aacou b t to a y for a catScan, much less chemo. Ame r ica simply worships money over life. Not sure people know, but Medicare comes with a m o nthly premium, vopays, and donuts. Only Medicaid eliminates those expenses.",1
"@thelearnedman3148  

same answer as for  MAGAMORON:  ""@danielmanly4793   ""

FALSE !   Arguing like you, if senate declares and confirmes that  MONKEYS are allowed to run the country (or part of it) they are qualified. They are not !   At best, they are legally confirmed (NOT QUALIFIED)

IRONICALLY, your position is similar to that of a guy named CALIGULA who wanted to ""confirm"" as prime minister INCITATUS  (his beloved HORSE).

Good luck ""usa"" (once USA)

L.B. (MA  eco&fin)",1
"DX 
NOOB HAHAHAHAHHAHAAHAHHAHHAAHAHAHAHAHAHAHHAHHAHAHAHAHAHAHAAHHAHAHHAHHAAHHAHAHHAHAHAHAH",0
Any one here 14-20 November 2025?😮,0
I didn’t feel relaxed!,0
So beautiful video and music,0
Anyone here November 2025 ? 🤔♥️,0
"""Look Jake, you want me to admit what is clearly true, and obviously I am not going to do that.""",1
